group,count,mean,std,min,25%,50%,75%,max
1,574.0,77.21157317073171,7.16481747177737,51.389,73.611,77.778,81.944,91.667
2,4645.0,75.76216533907429,6.970709759118496,47.222,70.833,76.389,80.556,98.611
3,6860.0,73.86297682215744,7.2999821735579395,29.167,69.444,75.0,79.167,91.667
4,4639.0,72.34078400517353,7.589317984789566,25.0,68.056,73.611,77.778,93.056
5,2437.0,70.30388059089046,7.83610052902108,30.556,65.278,70.833,76.389,94.444
6,408.0,68.59341911764706,8.183794948406865,33.333,63.889,69.444,75.0,86.111
7,16.0,67.1875625,9.445661282435443,47.222,61.111,65.9725,76.389,80.556
