group,count,mean,std,min,25%,50%,75%,max
1,574.0,54.49959407665505,22.19652127282659,0.0,48.276,58.621,68.966,93.103
2,4645.0,53.98390742734123,20.62778850360765,0.0,44.828,58.621,68.966,93.103
3,6860.0,49.762249854227406,21.730964164441016,0.0,41.379,55.172,65.517,93.103
4,4639.0,43.225717395990515,21.282641193916316,0.0,31.034,48.276,58.621,93.103
5,2437.0,32.59376200246204,21.827124985658493,0.0,13.793,34.483,48.276,93.103
6,408.0,19.286661764705883,18.916690416866693,0.0,0.0,17.241,34.483,68.966
7,16.0,2.8016875,7.472312018099441,0.0,0.0,0.0,0.0,27.586
